SL NO,PART,QUANTITY,VALUE,LCSC PART NUMBER,MANUFACTURER
,,,,,
1,rp2040,5,,C2040,R PI
2,sk6812mini-e neopixel led,10,,C5149201,adafruit
3,CL10B105KA8NNNC,100,1 uf,C29936,samsung
4,CL10B104KB8NNNC,100,100 nf,C1591,samsung
5,CC0603KRX7R9BB103,100,10 uf,C100042,YAGEO
6,CL10C330JB8NNNC,100,33pf,C1663,samsung
7,RC0603FR-075K1L,100,5.1k R,C105580,YAGEO
8,RC0603FR-071KL,100,1k R,C22548,YAGEO
9,RC0603FR-0727RL,100,27 R,C137753,YAGEO
10,RC0603FR-071KL,100,10k R,C22548,YAGEO
11,W25Q128JVS,4,16 mbit,C97521,Winbond
12,MCP1700x-120xxTT [MCP1700T-3302E/TT],4,3.3v,C39051,MICROCHIP
13,X322512MSB4SI,4,12mhz,C9002,YXC Crystal Oscillators
14,USB_C_Receptacle_USB2.0_14P [TYPE-C 16PIN 2MD(073) ],4,16p,C2765186,SHOU HAN
